frame,elapsed_seconds,delta_time_ms,main_thread_ms,player_loop_ms,gc_allocated_in_frame_bytes,total_used_memory_bytes,total_reserved_memory_bytes,gc_reserved_memory_bytes,system_used_memory_bytes,fixed_step_ms,belt_transfer_ms,belt_progress_ms,transfer_command_buffer_ms,item_pool_initialization_ms,item_visual_capture_ms,item_transform_presentation_ms,item_process_ms,item_port_adapter_ms,item_port_buffer_swap_ms,grid_placement_transform_ms,grid_build_ms,grid_occupancy_index_ms,belt_topology_visual_ms,wait_for_job_group_ms
79,0.107145,1.315200,1.313200,1.212200,1076.000000,850195592.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.011700,0.000000,0.023700,0.000000,0.000000,0.000000,0.004400,0.002500,0.002500,0.006600,0.000000
80,0.108523,1.373597,1.360800,1.258500,1076.000000,850195192.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.009800,0.000000,0.030000,0.000000,0.000000,0.000000,0.004000,0.002100,0.002500,0.006500,0.000000
81,0.109788,1.270805,1.259900,1.150700,1076.000000,850203408.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.043900,0.000000,0.000000,0.000000,0.004200,0.002700,0.002400,0.007000,0.000000
82,0.110977,1.193899,1.190600,1.089700,1076.000000,850203008.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.010700,0.000000,0.039400,0.000000,0.000000,0.000000,0.004500,0.002100,0.002300,0.006400,0.000000
83,0.112811,1.588797,1.460300,1.338300,1076.000000,850217504.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.009500,0.000000,0.019700,0.000000,0.000000,0.000000,0.004100,0.001900,0.002200,0.006500,0.000000
84,0.114441,1.816199,1.926300,1.729400,1076.000000,850205832.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.013000,0.000000,0.125500,0.000000,0.000000,0.000000,0.047000,0.002800,0.004400,0.009200,0.000000
85,0.115795,1.397605,1.405100,1.293600,1076.000000,850202792.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000800,0.000000,0.000000,0.000000,0.011400,0.000000,0.125000,0.000000,0.000000,0.000000,0.005400,0.002700,0.003700,0.008200,0.000000
86,0.117313,1.468197,1.453500,1.345400,1076.000000,850202832.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.010300,0.000000,0.038600,0.000000,0.000000,0.000000,0.005000,0.002400,0.003200,0.006700,0.000000
87,0.118433,1.173101,1.176000,1.062400,1076.000000,850207392.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.011400,0.000000,0.011900,0.000000,0.000000,0.000000,0.006500,0.002500,0.003300,0.007300,0.000000
88,0.119321,0.913102,0.922800,0.817700,1076.000000,850206976.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000700,0.000000,0.000000,0.000000,0.010000,0.000000,0.010600,0.000000,0.000000,0.000000,0.004900,0.002800,0.003100,0.007000,0.000000
89,0.120168,0.846294,0.845900,0.753500,1076.000000,850207144.000000,1324570160.000000,237035520.000000,1571213312.000000,0.000600,0.000000,0.000000,0.000000,0.008100,0.000000,0.010600,0.000000,0.000000,0.000000,0.004000,0.002500,0.002600,0.006700,0.000000
